City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
90,Puerto Ayora,EC,86.0,clear sky,-0.7393,-90.3518,Castillo Galapagos
92,San Patricio,US,86.0,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
100,Bathsheba,BB,82.4,scattered clouds,13.2167,-59.5167,Atlantis Hotel
104,Cabo San Lucas,MX,82.99,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
105,Aquiraz,BR,84.2,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
112,Namatanai,PG,79.9,overcast clouds,-3.6667,152.4333,Namatanai Hotel
113,Pimentel,PE,78.8,clear sky,-6.8367,-79.9342,Casona Del Muelle
116,Vao,NC,78.75,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
118,Diamantino,BR,87.93,scattered clouds,-14.4086,-56.4461,Hotel Delta
120,Antalaha,MG,75.61,broken clouds,-14.9003,50.2788,Hotel Vitasoa
127,Taua,BR,86.85,broken clouds,-5.9667,-40.3,FAZENDA IPARANA - Maria Luiza Uchôa Castelo
131,Arraial Do Cabo,BR,86.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
134,Ewo,CG,77.0,light rain,-0.8725,14.8206,Residence Elonda Ewo
135,Karratha,AU,80.24,broken clouds,-20.7377,116.8463,ibis Styles Karratha
137,Hualmay,PE,75.29,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
142,Bambous Virieux,MU,79.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
146,Itaituba,BR,88.9,overcast clouds,-4.2761,-55.9836,Hotel Campos
147,Cayenne,GF,80.6,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
159,Issia,CI,81.46,scattered clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
160,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
166,Samarai,PG,80.82,few clouds,-10.6167,150.6667,Nuli Sapi
168,Male,MV,82.4,broken clouds,4.1748,73.5089,Hotel Octave Maldives
173,Hithadhoo,MV,82.22,overcast clouds,-0.6,73.0833,Scoop Guest House
175,Richards Bay,ZA,75.92,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
182,Mabaruma,GY,80.47,scattered clouds,8.2,-59.7833,
184,San Juan,AR,89.83,clear sky,-31.5375,-68.5364,Hotel Provincial
186,Tamalin,MX,77.92,clear sky,21.35,-97.8,Taller Tony
187,Les Cayes,HT,81.95,clear sky,18.2,-73.75,Villa Orphee
