City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,Bluff,-46.6,168.3333,57.0,91,75,8.1,NZ,2021-02-02 18:23:55
157,Kulmbach,50.1,11.45,46.0,95,100,9.1,DE,2021-02-02 18:23:55
158,Byron Bay,-28.65,153.6167,68.0,94,90,5.75,AU,2021-02-02 18:23:56
159,Qaanaaq,77.484,-69.3632,-5.39,84,100,4.23,GL,2021-02-02 18:23:56
160,Longyearbyen,78.2186,15.6401,19.4,86,75,6.91,SJ,2021-02-02 18:23:57
161,Inhambane,-23.865,35.3833,80.6,94,75,3.44,MZ,2021-02-02 18:23:57
162,Chokurdakh,70.6333,147.9167,-1.23,91,84,12.3,RU,2021-02-02 18:23:58
163,Lufilufi,-13.8745,-171.5986,82.4,83,75,13.8,WS,2021-02-02 18:23:58
164,Lebu,-37.6167,-73.65,63.64,64,45,16.55,CL,2021-02-02 18:23:58
165,Palmer,42.1584,-72.3287,34.0,75,90,12.66,US,2021-02-02 18:23:58
166,Broken Hill,-31.95,141.4333,59.0,44,0,5.75,AU,2021-02-02 18:23:59
167,Viedma,-40.8135,-62.9967,87.01,21,71,11.59,AR,2021-02-02 18:23:59
168,Hami,42.8,93.45,26.19,79,82,4.05,CN,2021-02-02 18:23:59
169,Grand-Santi,4.25,-54.3833,80.73,89,74,3.62,GF,2021-02-02 18:23:59
170,Baripada,21.935,86.7214,59.59,33,0,4.74,IN,2021-02-02 18:23:59
171,Chimore,-16.9833,-65.1333,81.63,92,93,3.6,BO,2021-02-02 18:23:59
172,Hermanus,-34.4187,19.2345,71.01,74,0,1.99,ZA,2021-02-02 18:24:00
173,Kavieng,-2.5744,150.7967,78.33,89,100,18.34,PG,2021-02-02 18:24:00
174,Pavino,59.1139,46.1414,19.47,97,100,9.24,RU,2021-02-02 18:24:00
175,Lagoa,39.05,-27.9833,55.22,65,21,33.51,PT,2021-02-02 18:24:00
176,Weymouth,42.2209,-70.9398,33.8,93,100,17.27,US,2021-02-02 18:24:00
177,Georgetown,5.4112,100.3354,82.0,89,20,5.75,MY,2021-02-02 18:20:56
178,Bubaque,11.2833,-15.8333,78.15,73,27,14.0,GW,2021-02-02 18:24:01
179,Aksehir,38.3575,31.4164,46.45,62,100,4.32,TR,2021-02-02 18:24:01
180,Mineiros,-17.5694,-52.5511,85.87,54,87,3.49,BR,2021-02-02 18:24:01
181,Mosetse,-20.75,26.65,69.44,81,100,17.76,BW,2021-02-02 18:24:01
182,Jiexiu,37.0244,111.9125,33.94,64,11,7.83,CN,2021-02-02 18:21:03
183,Port Hedland,-20.3167,118.5667,82.4,83,90,11.5,AU,2021-02-02 18:24:01
184,Sri Aman,1.2376,111.4621,75.2,100,94,1.97,MY,2021-02-02 18:24:02
185,Puerto Narino,-3.7703,-70.3831,82.4,83,75,2.3,CO,2021-02-02 18:24:02
186,Saint-Philippe,-21.3585,55.7679,82.4,74,20,3.44,RE,2021-02-02 18:24:02
187,Lavrentiya,65.5833,-171.0,5.36,91,100,22.12,RU,2021-02-02 18:24:02
188,Codrington,-38.2667,141.9667,57.83,79,76,6.76,AU,2021-02-02 18:24:03
189,Kyzyl-Suu,42.3414,78.0056,27.05,84,65,7.85,KG,2021-02-02 18:24:03
190,Husavik,66.0449,-17.3389,10.4,72,0,8.05,IS,2021-02-02 18:24:03
191,Cockburn Town,21.4612,-71.1419,78.8,73,40,9.22,TC,2021-02-02 18:24:03
192,Vista Hermosa,19.5167,-99.2167,62.6,36,1,3.44,MX,2021-02-02 18:24:03
193,Norman Wells,65.282,-126.8329,-18.4,69,90,13.8,CA,2021-02-02 18:24:03
194,Yar-Sale,66.8333,70.8333,2.8,94,99,8.08,RU,2021-02-02 18:24:04
195,Chateau-Thierry,49.05,3.4,53.01,88,98,4.0,FR,2021-02-02 18:24:04
196,Faanui,-16.4833,-151.75,81.0,74,5,14.34,PF,2021-02-02 18:24:04
197,San Cristobal,7.7669,-72.225,95.0,24,20,18.41,VE,2021-02-02 18:23:09
198,Havelian,34.0536,73.1657,55.0,61,100,13.67,PK,2021-02-02 18:24:04
199,Ponta Delgada,37.7333,-25.6667,57.2,62,40,24.16,PT,2021-02-02 18:24:04
200,Paamiut,61.994,-49.6678,7.74,85,0,18.68,GL,2021-02-02 18:24:04
201,Savannah Bight,16.45,-85.85,75.99,78,75,13.8,HN,2021-02-02 18:24:05
202,Srednekolymsk,67.45,153.6833,-27.99,81,53,2.77,RU,2021-02-02 18:24:05
203,Omboue,-1.5746,9.2618,79.41,85,61,5.73,GA,2021-02-02 18:24:05
204,Hualmay,-11.0964,-77.6139,75.72,63,64,9.89,PE,2021-02-02 18:24:05
205,Herat,34.5,62.0,44.6,53,0,2.3,AF,2021-02-02 18:24:05
206,Drawsko Pomorskie,53.5306,15.8097,28.0,91,100,0.54,PL,2021-02-02 18:24:05
