City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Doha,QA,25.2867,51.5333,66.2,94,0,2.3,clear sky
131,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,65,0,21.85,clear sky
132,Chapais,CA,49.7834,-74.8492,32.0,55,1,4.61,clear sky
133,Bochnia,PL,49.9691,20.4303,35.01,91,96,2.53,light snow
134,Ewo,CG,-0.8725,14.8206,77.0,79,99,3.29,light rain
135,Karratha,AU,-20.7377,116.8463,80.24,82,70,8.72,broken clouds
136,Kabalo,CD,-6.05,26.9167,71.69,90,99,0.58,overcast clouds
137,Hualmay,PE,-11.0964,-77.6139,75.29,65,90,8.63,overcast clouds
138,Bethel,US,41.3712,-73.414,39.2,45,1,6.91,clear sky
139,Darab,IR,28.7519,54.5444,51.49,38,0,0.67,clear sky
140,Esperance,AU,-33.8667,121.9,55.4,82,90,2.3,overcast clouds
141,Qasigiannguit,GL,68.8193,-51.1922,-0.4,35,1,9.22,clear sky
142,Bambous Virieux,MU,-20.3428,57.7575,79.0,78,40,11.5,scattered clouds
143,Rawson,AR,-43.3002,-65.1023,95.22,14,0,15.82,clear sky
144,Ziro,IN,27.6333,93.8333,36.23,94,0,2.91,clear sky
145,Kortkeros,RU,61.8106,51.5806,15.8,100,75,2.24,light snow
146,Itaituba,BR,-4.2761,-55.9836,88.9,55,98,1.21,overcast clouds
147,Cayenne,GF,4.9333,-52.3333,80.6,83,90,8.05,overcast clouds
148,Svetlyy,RU,54.675,20.1347,17.6,86,75,2.24,broken clouds
149,Namikupa,TZ,-10.8333,39.6,71.98,97,53,2.3,broken clouds
150,Kushiro,JP,42.975,144.3747,13.86,87,3,19.22,clear sky
151,Dingle,PH,10.9995,122.6711,74.16,93,35,7.99,scattered clouds
152,Chuy,UY,-33.6971,-53.4616,69.17,66,53,16.37,broken clouds
153,Vila,PT,42.0304,-8.1588,44.01,93,100,5.01,overcast clouds
154,Castro,BR,-24.7911,-50.0119,73.54,91,99,7.27,heavy intensity rain
155,Lasa,IT,46.6166,10.7002,37.99,86,0,2.73,clear sky
156,Cutro,IT,39.0353,16.9819,55.0,49,74,1.74,broken clouds
157,Houma,US,29.5958,-90.7195,69.8,56,75,13.8,broken clouds
158,Bijie,CN,27.3125,105.2942,40.57,79,100,7.85,overcast clouds
159,Issia,CI,6.4922,-6.5856,81.46,65,33,7.36,scattered clouds
160,Pisco,PE,-13.7,-76.2167,77.0,78,0,9.22,clear sky
161,Abrau-Dyurso,RU,44.69,37.59,51.8,82,100,20.13,light rain
162,East London,ZA,-33.0153,27.9116,73.24,78,93,6.82,overcast clouds
163,Little Current,CA,45.9793,-81.9248,37.4,80,100,12.66,overcast clouds
164,Ribeira Grande,PT,38.5167,-28.7,55.4,62,40,5.75,scattered clouds
165,Te Anau,NZ,-45.4167,167.7167,59.23,71,69,0.58,broken clouds
166,Samarai,PG,-10.6167,150.6667,80.82,77,18,4.9,few clouds
167,Haradok,BY,55.4624,29.9816,8.91,95,100,8.48,overcast clouds
168,Male,MV,4.1748,73.5089,82.4,78,75,11.5,broken clouds
169,College,US,64.8569,-147.8028,-11.0,84,75,2.84,broken clouds
170,Anadyr,RU,64.75,177.4833,-2.2,78,90,20.13,snow
171,Ridgecrest,US,35.6225,-117.6709,60.01,23,1,8.05,clear sky
172,Fortuna,US,40.5982,-124.1573,54.0,71,1,8.21,clear sky
173,Hithadhoo,MV,-0.6,73.0833,82.22,76,100,10.36,overcast clouds
174,Nizhniy Kuranakh,RU,58.8353,125.4869,-29.07,79,81,0.83,broken clouds
175,Richards Bay,ZA,-28.783,32.0377,75.92,91,100,9.22,light rain
176,Kon Tum,VN,14.35,108.0,58.59,92,51,2.57,broken clouds
177,Eatonton,US,33.3268,-83.3885,55.0,30,1,5.75,clear sky
178,Zhicheng,CN,30.2956,111.5047,43.0,94,100,5.17,moderate rain
179,Dhali,IN,10.5,77.1667,73.4,60,20,4.61,haze
180,Tilichiki,RU,60.4667,166.1,-7.08,92,74,12.8,broken clouds
181,Lodja,CD,-3.4833,23.4333,71.71,88,75,2.19,broken clouds
182,Mabaruma,GY,8.2,-59.7833,80.47,71,30,8.59,scattered clouds
183,Srednekolymsk,RU,67.45,153.6833,-3.21,82,99,17.96,overcast clouds
184,San Juan,AR,-31.5375,-68.5364,89.83,18,0,8.19,clear sky
185,Bilma,NE,18.6853,12.9164,64.8,27,0,6.73,clear sky
186,Tamalin,MX,21.35,-97.8,77.92,70,0,8.5,clear sky
187,Les Cayes,HT,18.2,-73.75,81.95,63,5,7.4,clear sky
188,Lusambo,CD,-4.9667,23.45,72.1,84,96,1.79,overcast clouds
189,Havelock,US,34.8791,-76.9013,53.6,19,40,9.22,scattered clouds
190,Kruisfontein,ZA,-34.0033,24.7314,69.01,79,0,3.0,clear sky
191,Conde,BR,-7.2597,-34.9075,84.2,65,0,11.5,clear sky
192,Gamboma,CG,-1.8764,15.8644,76.08,85,100,1.66,overcast clouds
193,Buxar,IN,25.5833,83.9833,56.7,60,0,5.21,clear sky
194,Bodden Town,KY,19.2833,-81.25,78.8,57,20,13.8,few clouds
195,La Ronge,CA,55.1001,-105.2842,-2.2,65,100,4.61,overcast clouds
196,Georgetown,MY,5.4112,100.3354,77.0,73,20,2.3,few clouds
197,Coquimbo,CL,-29.9533,-71.3436,66.2,72,40,13.8,scattered clouds
198,Shache,CN,38.4167,77.2406,27.25,82,0,1.97,clear sky
199,Puerto Lumbreras,ES,37.5633,-1.8097,53.01,61,100,3.98,overcast clouds
200,Laconia,US,43.5279,-71.4704,35.01,55,1,11.5,clear sky
201,Yamada,JP,39.4667,141.95,22.01,84,1,9.08,clear sky
202,Storsteinnes,NO,69.2408,19.2344,30.2,92,75,2.37,light snow
203,General Higinio Morinigo,PY,-25.95,-55.9167,75.74,75,6,5.68,clear sky
204,Mar Del Plata,AR,-38.0023,-57.5575,69.8,56,20,16.11,few clouds
205,Kirakira,SB,-10.4544,161.9205,79.93,82,100,9.53,overcast clouds
206,Ancud,CL,-41.8697,-73.8203,79.0,41,0,12.66,clear sky
207,Ahipara,NZ,-35.1667,173.1667,69.69,60,48,2.33,scattered clouds
208,Saint Anthony,US,45.0205,-93.218,21.2,68,1,16.11,clear sky
209,Swindon,GB,51.558,-1.7812,46.4,100,75,6.91,broken clouds
210,Okhotsk,RU,59.3833,143.3,1.02,88,100,11.3,overcast clouds
211,Morondava,MG,-20.2833,44.2833,83.79,79,100,2.33,moderate rain
212,Umm Lajj,SA,25.0213,37.2685,69.26,52,36,6.69,scattered clouds
213,Bandarbeyla,SO,9.4942,50.8122,73.06,73,8,13.02,clear sky
214,Presidente Medici,BR,-11.1753,-61.9014,83.98,84,100,2.37,overcast clouds
215,Champerico,GT,14.3,-91.9167,82.4,74,75,9.22,broken clouds
216,Davila,PH,18.4726,120.5763,72.72,81,2,15.9,clear sky
217,Grayslake,US,42.3445,-88.0417,34.0,86,90,10.36,snow
218,Rocha,UY,-34.4833,-54.3333,67.26,75,100,17.98,overcast clouds
219,La Reforma,MX,25.0833,-108.05,84.99,44,1,5.75,clear sky
220,Luderitz,NA,-26.6481,15.1594,70.23,59,0,22.3,clear sky
221,Pangnirtung,CA,66.1451,-65.7125,3.2,85,90,8.05,snow
222,Gazanjyk,TM,39.2446,55.5154,50.58,48,100,2.15,overcast clouds
223,Naryan-Mar,RU,67.6713,53.087,-15.65,88,54,10.49,broken clouds
224,Fairbanks,US,64.8378,-147.7164,-9.0,83,90,3.44,overcast clouds
225,Inhambane,MZ,-23.865,35.3833,81.48,86,13,3.31,few clouds
226,Novomyshastovskaya,RU,45.1991,38.5827,52.0,66,0,22.37,light rain
227,Banjar,ID,-8.19,114.9675,77.0,94,40,3.44,scattered clouds
228,San Cristobal,VE,7.7669,-72.225,87.8,51,40,12.66,scattered clouds
229,Isla Vista,US,34.4133,-119.861,64.0,51,1,5.75,clear sky
