City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,Port Elizabeth,-33.918,25.5701,64.4,88,0,3.44,ZA,2021-02-03 01:23:22
109,Saskylakh,71.9167,114.0833,-2.04,91,100,14.56,RU,2021-02-03 01:23:22
110,Nanortalik,60.1432,-45.2371,16.05,84,0,19.44,GL,2021-02-03 01:23:22
111,Sinnamary,5.3833,-52.95,77.68,88,70,13.18,GF,2021-02-03 01:20:29
112,Nioro,13.35,-15.75,68.5,38,0,5.39,GM,2021-02-03 01:23:23
113,Badarpur,24.9,92.6,55.72,71,0,2.51,IN,2021-02-03 01:23:23
114,Bubaque,11.2833,-15.8333,78.12,74,0,12.8,GW,2021-02-03 01:18:38
115,Punta Arenas,-53.15,-70.9167,59.0,63,90,25.32,CL,2021-02-03 01:20:48
116,Peniche,39.3558,-9.3811,59.0,95,100,14.0,PT,2021-02-03 01:20:38
117,Torbay,47.6666,-52.7314,28.99,80,90,12.66,CA,2021-02-03 01:23:23
118,Atyrau,47.1167,51.8833,30.2,93,100,8.95,KZ,2021-02-03 01:23:24
119,Gravdal,68.1214,13.5031,28.26,88,22,7.11,NO,2021-02-03 01:23:24
120,Embonas,36.2269,27.8564,64.4,68,40,10.36,GR,2021-02-03 01:23:25
121,Basco,20.4487,121.9702,72.18,78,98,31.16,PH,2021-02-03 01:23:26
122,Tuktoyaktuk,69.4541,-133.0374,-36.4,67,1,3.44,CA,2021-02-03 01:23:26
123,De Pere,44.4489,-88.0604,25.0,68,1,8.05,US,2021-02-03 01:22:45
124,Krasnoarmeysk,51.0239,45.6969,28.99,97,100,3.0,RU,2021-02-03 01:18:40
125,Egvekinot,66.3167,-179.1667,0.5,92,100,12.68,RU,2021-02-03 01:23:26
126,Ostrovnoy,68.0531,39.5131,25.03,96,100,16.42,RU,2021-02-03 01:23:26
127,Touros,-5.1989,-35.4608,78.8,78,20,6.91,BR,2021-02-03 01:19:03
128,Kruisfontein,-34.0033,24.7314,69.46,56,0,6.67,ZA,2021-02-03 01:23:27
129,Kem,64.9555,34.5793,2.32,93,0,5.14,RU,2021-02-03 01:20:26
130,Kodiak,57.79,-152.4072,35.6,87,90,12.66,US,2021-02-03 01:20:03
131,Jurm,36.8648,70.8342,25.43,70,28,5.73,AF,2021-02-03 01:23:27
132,Tommot,58.9564,126.2925,-27.22,79,100,12.21,RU,2021-02-03 01:23:27
133,New Norfolk,-42.7826,147.0587,66.99,42,70,1.01,AU,2021-02-03 01:19:40
134,Goure,13.9835,10.2704,71.01,14,0,10.0,NE,2021-02-03 01:23:28
135,Samarai,-10.6167,150.6667,84.72,67,33,4.79,PG,2021-02-03 01:23:28
136,Jamestown,42.097,-79.2353,28.0,93,90,13.8,US,2021-02-03 01:19:28
137,Kamenka,51.3223,42.7678,33.01,97,100,4.21,RU,2021-02-03 01:23:28
138,Alta Gracia,-31.6529,-64.4283,64.4,82,20,4.61,AR,2021-02-03 01:23:28
139,Port Lincoln,-34.7333,135.8667,67.35,66,63,11.88,AU,2021-02-03 01:23:29
140,Novyy Urengoy,66.0833,76.6333,5.29,95,80,5.88,RU,2021-02-03 01:19:10
141,Nyagan,62.1406,65.3936,4.41,93,0,6.29,RU,2021-02-03 01:23:29
142,Oshogbo,7.7667,4.5667,72.61,92,0,3.0,NG,2021-02-03 01:23:29
